Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=job_b970fab4900ee5ec,[포털서비스] AB테스트 설계/분석 데이터 엔지니어 및 서버 개발자 모집,카카오4.0성남 판교역,,니다. 실험 프로세스 구축 및 이를 위한 도구 개발 지원자격 최소자격 개발 경력 2년 이상 Python 사용에 어려움이 없으신 분 우대사항 하둡 에코시스템에서 대용량 데이터 처리 경험이 있으신 분 ( hadoop...
https://kr.indeed.com/viewjob?jk=job_0173e8547d42c81f,5G 시스템 소프트웨어 개발자,Ericsson서울,,"Erlang, Java, Python Domain experience... 가능) 프로그래밍 언어: C, C++(필수) / Erlang, Java, Python(우대) 기술 분야: 라디오 엑세스 네트워크, 5G NR, LTE..."
https://kr.indeed.com/viewjob?jk=job_7dc3cf5537450b54,게임 데이터 서비스/플랫폼 개발,NHN4.4성남 판교역,,"지표 분석 활동 - Hadoop 에코시스템을 통한 데이터 수집, 처리 및 지표 분석 경험 - Java, Python, Scala 중 최소 1가지 언어를 이용한 데이터 분석 및 소프트웨어 개발 역량 - 데이터 기반의 문제..."
https://kr.indeed.com/viewjob?jk=job_ab2f9b51bae920fa,Technical Writer 담당자 영입,카카오페이성남 백현동,,"엔지니어들이 이해할 수 있도록 전문적인 기술 문서로 작성한 경험이 있으신 분 - Java, Kotlin, Python, Javascript 등의 소스코드를 읽고 이해할 수 있는 능력을 보유하신 분 - 개발, 서버, 네트워..."
https://kr.indeed.com/viewjob?jk=job_6d817b9571866094,[부산 IT 취업 교육] 자바(JAVA) 스프링(SPRING) 웹 개발자 양성,아이티윌 부산교육센터부산 부산진구,,통신·모바일·게임>웹프로그래머>백엔드|인터넷·IT·통신·모바일·게임>응용프로그래머>Android|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>R
https://kr.indeed.com/viewjob?jk=job_d4412b208f5b11de,System Engineer,아프리카TV경기도 성남,,"현황 및 지표 분석이 가능하신 분 - Active Directory 구축,운영 경험이 있으신 분 - 아이디어를 나누고 공유하는 커뮤니케이션을 즐거워 하시는 분 - Python,Go 등 프로그래밍의 자기계발을 하시는 분"
https://kr.indeed.com/viewjob?jk=job_d6f30962332942d8,2021년 하반기 수시채용,한화테크윈성남 삼평동,,"Language 필수, Python 가능 - Image Processing... 설계, System-Verilog 및 UVM 설계 - C/C++, Python 가능, Timing report 분석 가능(DC, PT) 0명 판교..."
https://kr.indeed.com/viewjob?jk=job_c2c2b5fb87057ad2,(주)스누아이랩 AI연구소 신입/경력 정규직,스누아이랩서울 관악구,,인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>빅데이터|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python
https://kr.indeed.com/viewjob?jk=job_d81b36a0bbcd8282,차세대 AAA 게임 테크니컬 아티스트 모집,엔씨소프트2.7성남 판교역,,"우대 Skill - 일정 수준 이상의 영어 스킬(기술문서 독해 및 청취 가능 여부) - Max Script, Python, C Sharp, 등을 이용한 Script & Tool 제작 Skill - UE4 Blueprint 로..."
https://kr.indeed.com/viewjob?jk=job_a50f8c582b21a83a,[데이터사이언스] 계약직,하나카드서울 중구,,모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>데이터마이닝|인터넷·IT·통신·모바일·게임>빅데이터...
